Razon Social,Empresa,Mes,Neto,IVA
BA Comex,Apxer Srl,2024-09,26446,5554
BA Comex,Aranda Luis Alberto,2024-10,61080,12827
BA Comex,Aranda Luis Alberto,2024-11,107160,22504
BA Comex,Aranda Luis Alberto,2024-12,117640,24704
BA Comex,Aranda Luis Alberto,2025-01,105400,22134
BA Comex,Aranda Luis Alberto,2025-02,92943,19518
BA Comex,Aranda Luis Alberto,2025-03,136988,28767
BA Comex,Aranda Luis Alberto,2025-04,136913,28752
BA Comex,Aranda Luis Alberto,2025-05,126200,26502
BA Comex,Bidcom Srl,2024-09,99253,20843
BA Comex,Bocana Consulting S. A.,2024-03,2000000,420000
BA Comex,Bocana Consulting S. A.,2024-04,2000000,420000
BA Comex,Bocana Consulting S. A.,2024-05,2000000,420000
BA Comex,Centeno Jorge Alberto,2024-07,56000,11760
BA Comex,Centeno Jorge Alberto,2024-08,24000,5040
BA Comex,Centeno Jorge Alberto,2024-12,278000,58380
BA Comex,Centonara S.R.L.,2024-12,3583000,752430
BA Comex,Coto Centro Integral De Comercializacion Sociedad Anonima,2025-02,69040,14498
BA Comex,Coto Centro Integral De Comercializacion Sociedad Anonima,2025-03,25299,5313
BA Comex,Coto Centro Integral De Comercializacion Sociedad Anonima,2025-04,68938,14477
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-01,92767,19481
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-02,99854,20970
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-03,51408,10796
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-04,95229,19999
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-06,112454,23615
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-07,46871,9843
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-08,59418,12478
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-09,129765,27251
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-10,122875,25804
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-11,185214,38895
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2024-12,59584,12513
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2025-01,124401,26125
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2025-02,120354,25274
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2025-03,69515,14598
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2025-04,65139,13679
BA Comex,Deheza Sociedad Anonima Industrial Comercial Financiera Inmobiliaria,2025-05,66889,14047
BA Comex,Dia Argentina S A,2024-04,27595,5795
BA Comex,Dia Argentina S A,2024-05,36574,7681
